Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Occupant Of a Non-Motor Vehicle Transportation Device,bc18e22c-ae2b-4a94-a1ab-8ce3dca70bb0,AC2174009F,105,Other Working,30,BALTIMORE,12,Front,00,Not Distracted,,,M,01,No,04,Possible Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,d5e2644a-a766-49cf-8170-5b9af51fa128,08,N,21224
Pedestrian,66d35fd0-0483-4580-bba2-26df470b94d7,AC21760069,101,Cross/Enter Not at Intersection,82,LAUREL,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,aad26dab-ebd7-4ace-a98b-1cb22f5d4ce2,06,N,20724
Pedestrian,fa5744a1-b631-4343-90c1-e4d41a92646c,AC21760069,100,Cross/Enter at Intersection,72,LAUREL,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,aad26dab-ebd7-4ace-a98b-1cb22f5d4ce2,06,N,20724
Pedestrian,a5a74a5e-8140-46c5-9ab1-f438fc0fb17e,AC217800CS,101,Cross/Enter Not at Intersection,52,ANNAPOLIS,03,Right,02,"Manually Operating (dialing, playing game, etc.)",02,Hand-Held Mobile Phone,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,86e07031-072e-470c-9940-2a1711a3dba4,06,N,21403
Pedestrian,8765d93d-d59f-4d08-ad4c-fa3342b31f7d,AC217800D6,98,Other,61,ANNAPOLIS,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,99e04a43-dd12-469e-9633-0577db292fce,06,N,21401
Pedestrian,bcc554f1-fcd8-4cc0-b4b3-fdf90da35660,AC217800DF,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),37,STEVENSVILLE,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,97,Not Applicable,MD,c892efb3-71e1-4c39-9c8a-416783aa4db4,06,N,21666
Pedestrian,edba9614-0d19-4671-8eef-ae8852c66cee,AC21870064,100,Cross/Enter at Intersection,9,PASADENA,09,Left,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,07,Travel Lane – Other Location,01,School,MD,1f8b217e-694b-4bdc-80cc-bde8ec73beba,06,N,21122
Pedestrian,aa7fa595-8b7b-4ec9-91fb-dacb3428da7c,AC218900DP,98,Other,34,COLLINSVILLE,12,Front,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,IL,2462469b-7414-4e4c-a5ba-a341985d4de3,06,N,62234
Pedestrian,1e81a9d3-5754-4bcf-a8a6-dae94b61da5d,AC218900F5,98,Other,24,MILLERSVILLE,03,Right,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,98,Other,97,Not Applicable,MD,69164523-0efa-46e6-bdab-b2f476b53fc1,06,N,21108
Pedestrian,54b448a8-6709-4c21-95db-8cc929e30571,AC22060092,102,Standing,73,GLEN BURNIE,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,c6a91921-f569-4fa1-adae-3ac21ea0cb85,06,N,21061
Pedestrian,fd64cce7-383b-4501-8199-c7ce2da0a05e,AC2207001C,99,Unknown,8,BALTIMORE,03,Right,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,01,School,MD,50b1dbd4-9270-4a30-8df2-cd148e6c9017,06,N,21225
Cyclist (Electric),fb127fa3-0fe4-4962-82a8-7d6b5399dc88,AC222800C0,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),29,ALEXANDRIA,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,97,Not Applicable,VA,6aef2231-57ad-4fb1-9adb-66df3dbdee20,100,N,22314
Pedestrian,b7ee6acb-3966-4786-a171-cbb69d9ddf80,AC2230007S,98,Other,33,ANNAPOLIS,12,Front,00,Not Distracted,,,M,01,No,05,No Apparent Injury,98,Other,97,Not Applicable,MD,a6e4594d-6db8-4285-9da8-375d0be90e7a,06,N,21409
Pedestrian,7f699c30-cb3f-48d8-912d-7a01e15cfe7c,AC223700CR,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),31,FREDERICK,12,Front,03,"Other Action (looking away from task, etc.)",07,"Other Distraction (animal, food, grooming)",M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,f216f0b0-c233-4860-8cfa-14afaa26b25a,06,N,21704
Pedestrian,ce6d8a7c-417c-41e7-b1ef-b2df0d0f522d,AC223700D0,101,Cross/Enter Not at Intersection,31,GLEN BURNIE,03,Right,03,"Other Action (looking away from task, etc.)",06,External (to vehicle/non-motorist area),F,01,No,04,Possible Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,623e8ec8-ef6a-4e47-bb77-6951ef57fdbc,06,N,21061
"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",6cb46803-0ff5-4f9e-8b1e-a1be93bc01a7,AC2249006C,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),14,PASADENA,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,97,Not Applicable,MD,76d36239-c26f-406d-9a3b-272587773b1c,07,N,21122
Scooter (electric),23d17941-b67f-4a3d-ba0c-8a04a03650a2,AC22510086,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),16,GLEN BURNIE,09,Left,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,07,Travel Lane – Other Location,99,Unknown,MD,fd71fb67-6dc1-44fa-afef-c52bf998325d,102,N,21061
Cyclist (non-electric),af62839a-d426-4d0a-9843-a5faaa1ffa21,AC2251008P,100,Cross/Enter at Intersection,64,LINTHICUM HEIGHTS,09,Left,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,c2a8909c-da81-4a04-a49b-3a07acda26a3,101,N,21090
Pedestrian,7e00aab0-2d30-4e17-85c2-c5793012ab30,AC225200H0,99,Unknown,35,MILLERSVILLE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,97,Not Applicable,MD,d68c56fd-62fe-46fd-b90c-c87484acf6f5,06,N,21108
Pedestrian,f35d4d02-5a14-4471-aa3c-a669575349fd,AC2258006H,100,Cross/Enter at Intersection,39,LAUREL,03,Right,99,Unknown,99,Unknown,M,01,No,05,No Apparent Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,e385b222-0da5-4a7f-862d-b38b2fc02b47,06,N,20723
Pedestrian,8b9aae37-8c10-418c-8f26-3aa5288bed1e,AC2258006K,07,Walking/Cycling on Sidewalk,50,LAUREL,03,Right,00,Not Distracted,,,M,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,8b2bed7e-0670-42d5-9517-8b8ce37a5d12,06,N,20724
Cyclist (non-electric),3fa3bc13-bd81-4e6a-bf05-8f4af91d0095,AC22590096,100,Cross/Enter at Intersection,10,SEVERN,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,6d364585-a9f1-4def-9716-818ac3b20f3b,101,N,21144
Pedestrian,8dabae31-f952-4720-a550-060edc4ecb9b,AC22640050,98,Other,30,GLEN BURNIE,12,Front,00,Not Distracted,,,U,01,No,03,Suspected Minor Injury,14,Driveway Access,97,Not Applicable,MD,3810cdbd-b229-4594-b02f-9d7d0e7f1aeb,06,N,21060
Pedestrian,23b8d19e-e507-4557-8a02-778d7f466e49,AC2269009C,101,Cross/Enter Not at Intersection,32,EDGEWATER,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,02,Transit,MD,3dd8b4b9-b14b-4637-af33-bee1aa655343,06,N,21037
